word,Pos_x,wordCount_x,percent_of_total,Pos_y,wordavg,wordCount_y
noise,NOUN,1,0.02631578947368421,NOUN,0.10086755349913243,5
panel,NOUN,1,0.02631578947368421,NOUN,0.02631578947368421,1
plastic,NOUN,1,0.02631578947368421,NOUN,0.03671310629514964,3
portable,ADJ,1,0.02631578947368421,ADJ,0.18471177944862155,7
round,ADJ,1,0.02631578947368421,ADJ,0.02631578947368421,1
setting,NOUN,2,0.05263157894736842,NOUN,0.07631578947368421,3
several,ADJ,1,0.02631578947368421,ADJ,0.02402745995423341,2
small,ADJ,1,0.02631578947368421,ADJ,0.02631578947368421,1
sound,ADJ,1,0.02631578947368421,NOUN,0.16305645065043559,8
surface,NOUN,1,0.02631578947368421,NOUN,0.10386996904024769,7
user,NOUN,1,0.02631578947368421,NOUN,0.13707900244400323,28
white,ADJ,1,0.02631578947368421,ADJ,0.02631578947368421,1
name,NOUN,1,1.0,NOUN,1.0,5
cushion,NOUN,1,0.3333333333333333,NOUN,0.3333333333333333,2
posture,NOUN,1,0.3333333333333333,NOUN,0.25595238095238093,6
proper,ADJ,1,0.3333333333333333,ADJ,0.3333333333333333,1
name,NOUN,1,1.0,NOUN,1.0,5
name,NOUN,1,1.0,NOUN,1.0,5
name,NOUN,1,1.0,NOUN,1.0,5
name,NOUN,1,1.0,NOUN,1.0,5
box,NOUN,1,0.021739130434782608,NOUN,0.021739130434782608,1
button,NOUN,1,0.021739130434782608,NOUN,0.02402745995423341,2
computer,NOUN,1,0.021739130434782608,NOUN,0.10196256038647343,4
control,NOUN,2,0.043478260869565216,NOUN,0.049516908212560384,3
day,NOUN,1,0.021739130434782608,NOUN,0.1275477340694732,10
deep,ADJ,1,0.021739130434782608,ADJ,0.021739130434782608,1
device,NOUN,2,0.043478260869565216,NOUN,0.18681245337423827,23
dial,NOUN,1,0.021739130434782608,NOUN,0.021739130434782608,1
digital,ADJ,1,0.021739130434782608,ADJ,0.035187553282182434,3
