word,Pos,avg_freq,wordCount,prevalence,wordavg
argument,NOUN,0.003480089363414619,6,0.06,0.00024131274131274132
arm,NOUN,0.0033886774515576048,9,0.09,0.00036196911196911195
armed,ADJ,0.003741825550336189,3,0.03,0.00012065637065637066
armenian,ADJ,0.0014104372355430183,1,0.01,4.021879021879022e-05
armoured,ADJ,0.0014104372355430183,1,0.01,4.021879021879022e-05
armsproducing,ADJ,0.0014492753623188406,1,0.01,4.021879021879022e-05
army,NOUN,0.0035796738382945278,2,0.02,8.043758043758043e-05
arrangement,NOUN,0.007254145225843339,3,0.03,0.00012065637065637066
array,NOUN,0.002976190476190476,1,0.01,4.021879021879022e-05
arrival,NOUN,0.003961292119186856,2,0.02,8.043758043758043e-05
arrogance,NOUN,0.0008264462809917355,1,0.01,4.021879021879022e-05
arrow,NOUN,0.005103218065468865,3,0.03,0.00012065637065637066
arsenic,ADJ,0.005747126436781609,1,0.01,4.021879021879022e-05
art,NOUN,0.016049232750207733,33,0.33,0.0013272200772200772
artefact,NOUN,0.008368200836820083,2,0.02,8.043758043758043e-05
artful,ADJ,0.0041841004184100415,1,0.01,4.021879021879022e-05
arthritis,NOUN,0.0026246719160104987,1,0.01,4.021879021879022e-05
article,NOUN,0.006747938648385125,39,0.39,0.0015685328185328184
artificial,ADJ,0.0051800740265380025,5,0.05,0.00020109395109395108
artillery,NOUN,0.004231311706629055,3,0.03,0.00012065637065637066
artist,NOUN,0.01011744547519104,14,0.14,0.0005630630630630631
asbestos,NOUN,0.06060606060606061,6,0.06,0.00024131274131274132
asian,ADJ,0.006802721088435374,2,0.02,8.043758043758043e-05
aspect,NOUN,0.005688283857778457,8,0.08,0.00032175032175032174
aspiration,NOUN,0.0043167543435754996,3,0.03,0.00012065637065637066
aspirin,NOUN,0.005025125628140704,1,0.01,4.021879021879022e-05
assad,NOUN,0.0028798100949525237,2,0.02,8.043758043758043e-05
assassination,NOUN,0.006632990820878572,6,0.06,0.00024131274131274132
assault,NOUN,0.00705684007707129,3,0.03,0.00012065637065637066
assertion,NOUN,0.0028328611898017,1,0.01,4.021879021879022e-05
assessment,NOUN,0.004615127771481477,7,0.07,0.00028153153153153153
asset,NOUN,0.00611652943739295,9,0.09,0.00036196911196911195
assistance,NOUN,0.0031689484149818293,4,0.04,0.00016087516087516087
assistant,NOUN,0.002391682954634647,3,0.03,0.00012065637065637066
associate,ADJ,0.0022741220233383243,3,0.03,0.00012065637065637066
association,NOUN,0.005130154955623046,9,0.09,0.00036196911196911195
assortment,NOUN,0.007518796992481203,1,0.01,4.021879021879022e-05
assurance,NOUN,0.004807692307692308,1,0.01,4.021879021879022e-05
asthma,NOUN,0.002110987525801897,3,0.03,0.00012065637065637066
astounding,ADJ,0.0031847133757961785,1,0.01,4.021879021879022e-05
astrazeneca,NOUN,0.005747126436781609,1,0.01,4.021879021879022e-05
astronomical,ADJ,0.007589501693275278,2,0.02,8.043758043758043e-05
athlete,NOUN,0.0196078431372549,1,0.01,4.021879021879022e-05
atmosphere,NOUN,0.003987850658909506,5,0.05,0.00020109395109395108
atomic,ADJ,0.011084552806856005,3,0.03,0.00012065637065637066
atrocity,NOUN,0.003992611537368571,2,0.02,8.043758043758043e-05
atrophy,NOUN,0.0111731843575419,2,0.02,8.043758043758043e-05
attache,NOUN,0.004464285714285714,1,0.01,4.021879021879022e-05
attack,NOUN,0.008837943310329307,38,0.38,0.0015283140283140282
attempt,NOUN,0.004452140259489946,7,0.07,0.00028153153153153153
attendance,NOUN,0.0017672611090397074,2,0.02,8.043758043758043e-05
attendant,ADJ,0.003401360544217687,1,0.01,4.021879021879022e-05
attention,NOUN,0.00448619671698953,12,0.12,0.00048262548262548264
attitude,NOUN,0.003785396795374098,4,0.04,0.00016087516087516087
attorneygeneral,NOUN,0.0024793388429752068,3,0.03,0.00012065637065637066
