Pos_x,wordCount_x,doc,percent_of_total,Pos_y,wordavg,wordCount_y
NOUN,1,78,0.3333333333333333,NOUN,0.25595238095238093,6
ADJ,1,78,0.3333333333333333,ADJ,0.3333333333333333,1
NOUN,1,79,1.0,NOUN,1.0,5
NOUN,1,80,1.0,NOUN,1.0,5
NOUN,1,81,1.0,NOUN,1.0,5
NOUN,1,82,1.0,NOUN,1.0,5
NOUN,1,83,0.021739130434782608,NOUN,0.021739130434782608,1
NOUN,1,83,0.021739130434782608,NOUN,0.02402745995423341,2
NOUN,1,83,0.021739130434782608,NOUN,0.10196256038647343,4
NOUN,2,83,0.043478260869565216,NOUN,0.049516908212560384,3
NOUN,1,83,0.021739130434782608,NOUN,0.1275477340694732,10
ADJ,1,83,0.021739130434782608,ADJ,0.021739130434782608,1
NOUN,2,83,0.043478260869565216,NOUN,0.18681245337423827,23
NOUN,1,83,0.021739130434782608,NOUN,0.021739130434782608,1
ADJ,1,83,0.021739130434782608,ADJ,0.035187553282182434,3
NOUN,1,83,0.021739130434782608,NOUN,0.08279280216351155,5
NOUN,1,83,0.021739130434782608,NOUN,0.021739130434782608,1
ADJ,1,83,0.021739130434782608,ADJ,0.021739130434782608,1
ADJ,1,83,0.021739130434782608,ADJ,0.021739130434782608,1
ADJ,1,83,0.021739130434782608,ADJ,0.021739130434782608,1
NOUN,1,83,0.021739130434782608,NOUN,0.18502415458937196,3
NOUN,1,83,0.021739130434782608,NOUN,0.021739130434782608,1
NOUN,1,83,0.021739130434782608,NOUN,0.024565315183164155,3
NOUN,1,83,0.021739130434782608,NOUN,0.10703286749482402,8
ADJ,1,83,0.021739130434782608,ADJ,0.0733695652173913,2
NOUN,4,83,0.08695652173913043,NOUN,0.16972624798711755,7
NOUN,1,83,0.021739130434782608,NOUN,0.17753623188405795,2
NOUN,1,83,0.021739130434782608,NOUN,0.021739130434782608,1
NOUN,2,83,0.043478260869565216,NOUN,0.043478260869565216,2
ADJ,1,83,0.021739130434782608,ADJ,0.02402745995423341,2
NOUN,1,83,0.021739130434782608,NOUN,0.021739130434782608,1
NOUN,1,83,0.021739130434782608,NOUN,0.021739130434782608,1
ADJ,1,83,0.021739130434782608,ADJ,0.02872670807453416,2
NOUN,2,83,0.043478260869565216,NOUN,0.12173913043478261,3
ADJ,1,83,0.021739130434782608,ADJ,0.06642512077294685,2
ADJ,1,83,0.021739130434782608,ADJ,0.13993271221532091,6
NOUN,1,83,0.021739130434782608,NOUN,0.021739130434782608,1
NOUN,1,83,0.021739130434782608,NOUN,0.13707900244400323,28
NOUN,1,83,0.021739130434782608,NOUN,0.021739130434782608,1
NOUN,6,83,0.13043478260869565,NOUN,0.23188405797101447,7
NOUN,2,84,0.05,NOUN,0.05131578947368421,4
NOUN,1,84,0.025,NOUN,0.10196256038647343,4
ADJ,1,84,0.025,ADJ,0.025657894736842105,2
NOUN,1,84,0.025,NOUN,0.1275477340694732,10
NOUN,1,84,0.025,NOUN,0.025,1
NOUN,3,84,0.075,NOUN,0.18681245337423827,23
ADJ,1,84,0.025,ADJ,0.035187553282182434,3
NOUN,1,84,0.025,NOUN,0.08279280216351155,5
ADJ,1,84,0.025,ADJ,0.025,1
NOUN,1,84,0.025,NOUN,0.025,1
ADJ,1,84,0.025,ADJ,0.025,1
NOUN,1,84,0.025,NOUN,0.025,1
NOUN,1,84,0.025,NOUN,0.11666666666666668,3
